FIPS,Name of Area,Qualifying Name,State/U.S.-Abbreviation (USPS),State (FIPS),Geographic Identifier,area_land,area_water,pop_density,population,white,black,native,asian,hawaiian,other_populatin,two_races_pop,avg_household_size,pop_25_over,ed_less_than_hs,ed_hs,ed_some_college,ed_ba,ed_ma,ed_prof_degree,ed_phd,total_laborforce,employed,unemployed,median_household_income,median_income_white,median_income_black,median_income_native,median_income_asian,median_income_hawaiian,median_income_other_race,median_income_2_races,median_income_latino,per_capita_income,Gini Index,median_gross_rent,households,households_rent_more_than_30
1,Alabama,Alabama,al,1,04000US01,1.31174E+11,4593327154,96.05149,4864680,3317453,1293186,25576,64609,2182,70055,91619,2.55,3299958,470043,1020172,987148,515443,221842,50429,34881,2224606,2076708,147898,48486,55265,32188,48188,62639,55511,35181,42397,38314,26846,0.4797,772,1860269,424558
2,Alaska,Alaska,ak,2,04000US02,1.47884E+12,2.45482E+11,1.293411,738516,478834,24129,106660,46556,8849,11027,62461,2.81,477727,34760,133851,169471,88053,36794,9506,5292,379219,351152,28067,76715,84799,58209,49834,69685,63478,67348,66896,66283,35874,0.4237,1231,253462,67276
4,Arizona,Arizona,az,4,04000US04,2.94199E+11,1027337603,61.1554,6946685,5364141,305259,309580,228887,14112,471823,252883,2.69,4633932,613002,1112551,1570308,835120,362611,83023,57317,3256192,3045978,210214,56213,58435,45310,35251,74430,59806,43471,52551,45610,29265,0.4681,1009,2524300,703932
5,Arkansas,Arkansas,ar,5,04000US05,1.34769E+11,2962859592,57.47471,2990671,2302874,460970,20037,43988,7969,78981,75852,2.52,1999307,276029,681223,590434,288720,115355,27579,19967,1368037,1292263,75774,45726,49581,30758,37801,65919,35947,38589,38068,39787,25635,0.4765,729,1152175,254792
6,California,California,ca,6,04000US06,4.03504E+11,20463871877,251.2858,39148760,23529068,2267875,296475,5604339,153366,5415410,1882227,2.96,26218885,4475565,5391120,7633463,5445781,2222636,627892,422428,19630514,18309012,1321502,71228,74276,49334,53019,91623,72432,52800,71932,55084,35021,0.4891,1429,12965435,5038127
8,Colorado,Colorado,co,8,04000US08,2.68423E+11,1181621593,53.36948,5531141,4655584,227938,54483,172695,8296,214817,197328,2.56,3748592,322718,803431,1117551,944470,409786,87493,63143,2978700,2839374,139326,68811,71221,49634,46082,73189,66528,48528,62783,50944,36415,0.4578,1196,2113387,629668
9,Connecticut,Connecticut,ct,9,04000US09,12542497068,1815617571,739.5698,3581504,2734880,378262,9698,158817,1173,185244,113430,2.54,2478708,235826,670519,607136,538924,309751,74380,42172,1936354,1810445,125909,76106,82950,47856,41094,93665,,39724,58137,45730,43056,0.496,1156,1367374,422453
10,Delaware,Delaware,de,10,04000US10,5045925646,1399985648,487.3596,949495,654905,209892,3455,36723,477,18034,26009,2.58,659979,67482,208557,176708,120794,62275,12399,11764,479447,450946,28501,65627,70154,48297,45227,96657,54239,53017,51868,53964,33989,0.4546,1110,357765,96123
11,District of Columbia,District of Columbia,dc,11,04000US11,158340391,18687198,11196.4,684498,280469,321317,1993,26718,340,33518,20143,2.29,486981,45805,83572,77255,118817,100571,40220,20741,398567,369194,29373,82604,132040,43564,42788,103898,120500,56962,88597,75004,53321,0.5283,1487,281322,95784
12,Florida,Florida,fl,12,04000US12,1.38949E+11,31361101223,383.9458,20598139,15529098,3316376,58118,559168,12887,580152,542340,2.65,14686727,1769489,4231678,4402103,2721635,1081844,310270,169708,9876910,9253932,622978,53267,56008,39586,45307,68777,52087,44805,51468,46627,30197,0.4868,1128,7621760,2373017
13,Georgia,Georgia,ga,13,04000US13,1.49482E+11,4422936154,178.4185,10297484,6079976,3239300,33484,402501,6095,283680,252448,2.71,6786547,903914,1890132,1912385,1282947,564866,142787,89516,5043919,4721065,322854,55679,63543,42085,38167,77008,39182,42912,53876,46734,29523,0.4821,968,3709488,1034190
15,Hawaii,Hawaii,hi,15,04000US15,16633990195,11777809026,221.4164,1422029,355612,26266,2987,536842,143274,15292,341756,3.02,988367,80696,273633,313042,212053,72121,22668,14154,709482,677446,32036,78084,77486,70100,47298,83089,62348,59814,79725,65160,34035,0.4412,1566,456782,164896
