FIPS,city,name,State,area_land,pop_white,pop_black,pop_native,pop_asian,pop_hawaiian,pop_other_race,pop_two_races,average_household_size,pop_over_25,educ_less_hs,educ_hs,educ_some_college,educ_ba,educ_ma,educ_prof_school,educ_doctorate,hs_droput,hs_enrolled,pop_16_over,labor_force,unemployed,not_in_labor_force,total_employed,total_households,income_less_10000,"income_$10,000_$14,999","income $15,000 to $19,999","income $20,000 to $24,999","income $25,000 to $29,999","income $30,000 to $34,999","income$35,000 to $39,999","income $40,000 to $44,999","income$45,000 to $49,999","income $50,000 to $59,999","income $60,000 to $74,999","income $75,000 to $99,999","income $100,000 to $124,999","income $125,000 to $149,999","income  $150,000 to $199,999","income $200,000 or More",median_household_income,median_income_black,median_income_black,median_income_asian,median_income_pacific_island,median_income_other_race,median_income_two_races,median_income_hispanic,median_income_white,per_capita_income,gini_index,Owner Occupied Housing Units,owner_housing_white,owner_housing_non_white,Median Gross Rent,avg_rent,paying_30_home,paying_at_least_50,avg_commute,poverty_overall,poverty_male,poverty_female
10100,Aberdeen,"Aberdeen, SD Micro Area",SD,2839.011047,38820,840,1249,1158,0,53,660,2.33,28245,2008,8755,9298,5697,1772,397,318,111,2422,33834,23271,515,10563,22717,17747,959,812,827,946,889,980,712,851,871,1378,1779,2845,1640,887,750,621,57184,,34275,,,,65452,19477,59469,32025,0.4523,11965,11546,419,676,698.9968869,1804,724,13,4743,2058,2685
10140,Aberdeen,"Aberdeen, WA Micro Area",WA,1901.329903,63343,733,3191,1134,205,421,2940,2.44,51839,5761,17035,20838,5506,1920,392,387,201,2792,58610,29979,2500,28631,27388,28263,2199,1635,1553,1611,1665,1597,1265,1802,1403,2269,3248,3243,2253,1079,742,699,47770,,39815,71857,,,46824,35986,48791,25374,0.4451,18714,16826,1888,778,762.6453032,4356,1637,26,10980,5396,5584
10180,Abilene,"Abilene, TX Metro Area",TX,2743.478719,130470,13668,1341,3162,79,15880,5409,2.58,107411,13989,34612,34916,16140,5599,1231,924,684,9409,133905,80555,3243,53350,73451,60394,4142,3324,3139,3057,3533,3586,3498,3481,2461,5018,6238,6727,5067,2608,2420,2095,49945,38344,49571,50147,,38514,40324,41311,54379,25284,0.4585,37520,29173,8347,893,868.1997027,6859,2392,18,24001,10115,13886
10220,Ada,"Ada, OK Micro Area",OK,720.4225255,26590,813,4037,296,30,313,6279,2.57,24796,2811,8254,6770,4279,2138,238,306,80,2078,30124,18179,926,11945,17251,14354,1127,941,737,891,863,809,678,624,608,1206,1407,1614,1429,665,413,342,49235,33947,41136,26492,,30903,43618,33109,54202,24683,0.444,9323,7017,2306,692,640.1709402,1468,504,18,5685,2535,3150
10260,Adjuntas,"Adjuntas, PR Micro Area",PR,66.68977926,13712,145,25,3,0,4182,114,3.09,12554,4534,3173,2601,1864,288,15,79,48,879,14771,6165,2370,8606,3795,5861,2423,923,557,298,368,278,331,155,129,166,140,46,23,0,19,5,12902,,,,,13240,,12909,,7126,0.5259,3191,0,3191,363,191.0861423,692,273,31,11325,5091,6234
10300,Adrian,"Adrian, MI Micro Area",MI,749.6333975,91413,2640,492,284,15,1003,2627,2.44,68044,6278,25224,22343,9359,3795,676,369,281,5118,80013,46810,2365,33203,44374,38222,1816,1536,2224,1973,1964,2161,2234,1934,1919,3271,4374,5473,3192,1861,1438,852,53972,35417,,136719,,41094,39875,41448,55135,26958,0.417,29578,27530,2048,763,747.3391948,6378,2283,27,11411,4952,6459
10380,Aguadilla-Isabela,"Aguadilla-Isabela, PR Metro Area",PR,472.0206704,226497,9135,282,665,11,57337,13628,2.76,217176,67845,60055,45438,32991,8195,1200,1452,583,16273,254607,101448,21229,153159,80062,110489,36065,15802,11597,8962,7208,5538,4834,3962,3078,5025,3854,2247,1162,461,310,384,16369,17871,,,,14641,19516,16175,24340,9602,0.5267,71757,1270,70487,425,217.5487969,13873,6034,25,159107,74618,84489
10420,Akron,"Akron, OH Metro Area",OH,900.2172983,574542,84790,1554,20979,99,3155,19335,2.4,483509,40247,153735,138066,95248,40970,8546,6697,1225,38709,576691,371874,21555,204817,350109,286378,19502,14004,13975,15180,14108,14427,13402,13375,11768,22918,28776,37079,24274,15306,15182,13102,55718,30903,37386,54155,,55410,37303,46227,60278,31451,0.4646,190669,171162,19507,813,827.7800416,36058,13084,24,89922,39273,50649
10460,Alamogordo,"Alamogordo, NM Micro Area",NM,6612.562035,51539,2358,4385,941,152,4121,2249,2.66,43102,7095,11741,16087,4813,2574,493,299,167,3099,51975,28379,2080,23596,23841,23391,2232,1509,1541,1388,1584,1452,1153,1323,1229,2330,2255,2325,1546,650,604,270,42752,37830,32434,27035,,30306,45655,34690,49019,22477,0.4579,15280,9619,5661,814,795.0437677,2827,948,19,13232,6197,7035
10500,Albany,"Albany, GA Metro Area",GA,1932.934485,65467,81144,318,1975,101,1389,2707,2.55,99771,16530,31512,31914,11466,5839,1616,894,569,8384,119986,70042,7854,49944,61818,57804,6806,3780,3290,3848,3557,2928,2645,3240,2878,4455,5198,6005,3785,2123,1953,1313,42861,31575,,,47386,,32179,46488,59231,22848,0.4748,31409,18240,13169,740,725.9329418,6302,2818,21,37204,15931,21273
10540,Albany,"Albany, OR Metro Area",OR,2287.129028,111089,496,1124,1366,100,3396,5299,2.58,85098,8586,25544,34350,11455,3754,810,599,288,5524,97993,56840,4471,41153,52322,47030,2806,2577,2278,2419,2396,2785,2526,2558,2172,4012,5608,6340,3661,2033,1748,1111,52097,,35982,85139,,51917,51544,50673,52038,25781,0.4258,29910,27939,1971,928,905.6016355,7556,2742,23,17528,8141,9387
10580,Albany-Schenectady-Troy,"Albany-Schenectady-Troy, NY Metro Area",NY,2811.678621,730966,69112,1600,38007,258,12588,27950,2.42,606254,46527,160751,175637,122161,74150,14441,12587,1649,49630,726946,473079,23321,253867,447632,350301,16364,14436,13888,14574,13424,15187,13024,14940,13303,26045,34444,48477,37113,25233,26818,23031,68651,32432,47500,83446,91284,46915,45180,44431,72870,36255,0.4419,224214,205806,18408,983,1006.884929,45121,16412,23,88320,38541,49779
10620,Albemarle,"Albemarle, NC Micro Area",NC,395.1255496,51312,6834,220,1173,9,514,1052,2.49,42655,6359,14813,14742,4775,1444,302,220,225,2734,49380,30204,1865,19176,28295,23717,1505,1527,1029,1295,1350,1365,1547,1368,960,2379,2350,2861,1961,1090,646,484,49590,24640,71250,73882,,,59688,36759,52013,24671,0.4181,17435,15689,1746,712,651.3212353,3670,1220,26,8474,3344,5130
10660,Albert Lea,"Albert Lea, MN Micro Area",MN,707.2711812,28440,408,128,671,16,404,459,2.31,21816,2214,8131,7819,2672,688,201,91,56,1260,24609,15884,692,8725,15190,12970,743,620,535,640,710,647,815,840,656,1284,1549,1690,948,572,457,264,52447,43650,91576,44786,,37778,,30357,54409,28459,0.4189,9774,9218,556,668,704.6933667,1525,546,19,3667,1483,2184
10700,Albertville,"Albertville, AL Micro Area",AL,565.8450557,87887,2456,389,570,46,2096,1701,2.7,63644,12151,19818,19442,7915,3411,589,318,227,4598,74128,41119,2091,33009,38997,34896,2777,2741,2300,2586,1984,1879,1978,1917,1515,2814,2888,3696,2139,1583,1028,1071,42490,40220,38665,132857,,35386,46738,30431,44560,23833,0.4805,24555,22677,1878,632,587.4190117,4724,2029,25,20354,8938,11416
10740,Albuquerque,"Albuquerque, NM Metro Area",NM,9283.328905,677528,23470,53942,20177,736,97279,36880,2.57,620953,72062,152278,200283,109663,60130,13311,13226,2900,43869,727544,442703,29222,284841,410413,349150,28402,17803,18931,19678,18703,17169,16815,15495,15744,28208,33943,41986,28306,16027,16887,15053,51998,41421,37222,67856,60100,37548,52484,44427,61210,28342,0.4669,233231,120907,112324,873,890.5563368,55854,23665,24,154815,71402,83413
10760,Alexander City,"Alexander City, AL Micro Area",AL,716.5218186,28251,11145,130,155,0,555,400,2.43,28582,5581,9402,8355,3426,1285,401,132,193,1984,33023,16838,1755,16185,15083,16448,1637,1464,1117,1073,906,777,707,699,671,1580,1618,1736,1083,565,496,319,43361,23161,,50880,,29338,45855,,52985,23655,0.4617,11982,9898,2084,648,561.0837438,2187,1114,26,8131,3387,4744
10780,Alexandria,"Alexandria, LA Metro Area",LA,1963.370357,101325,45579,938,1847,16,1076,3113,2.66,102758,15688,39518,28388,12014,4944,1350,856,412,7698,120780,66014,4600,54766,60753,54989,5228,3423,4169,3292,3370,2852,2426,3174,2402,3767,5084,6094,3931,2402,1856,1519,44182,26442,42250,87746,,59125,47813,50474,52455,23549,0.4725,33926,26312,7614,792,723.3822342,5508,2153,24,28553,13050,15503
10820,Alexandria,"Alexandria, MN Micro Area",MN,636.7534799,36070,177,114,111,0,214,517,2.23,26537,1318,7857,10615,4840,1285,349,273,39,1510,30116,19824,600,10292,19219,16395,717,600,639,1005,738,807,665,728,678,1554,1742,2449,1682,887,831,673,60676,13583,31467,,,87143,68288,68179,61281,34547,0.4411,12168,12022,146,744,877.0995978,2520,920,18,3041,1484,1557
