Name of Area,FIPS,Police Department,percent_white_police,percent_black_police,percent_asian_police,percent_hispanic_police,percent_other_police
"BIRMINGHAM POLICE DEPARTMENT, Alabama",107000,107000,40.19,58.01,0.12,1.67,0
"ALTAMONTE SPRINGS POLICE DEPARTMENT,Florida",120950,120950,74.49,8.16,4.08,12.24,1.02
"DOTHAN POLICE DEPARTMENT, Alabama",121184,121184,85.98,9.15,1.83,1.83,1.22
"HOOVER POLICE DEPARTMENT, Alabama",135896,135896,88.05,11.95,0,0,0
"HUNTSVILLE POLICE DEPARTMENT, Alabama",137000,137000,81.59,16.17,0.75,1.24,0.25
"MOBILE POLICE DEPARTMENT, Alabama",150000,150000,67.14,29.01,1.22,1.62,1.01
"MONTGOMERY POLICE DEPARTMENT, Alabama",151000,151000,53.73,44.55,0.96,0.76,0
"TUSCALOOSA POLICE DEPARTMENT, Alabama",177256,177256,80.14,18.41,0.36,0.72,0.36
"ANCHORAGE POLICE DEPARTMENT, Alaska",203000,203000,80.67,4.9,4.64,5.41,4.38
"ALEXANDRIA POLICE DEPARTMENT,Louisiana",220975,220975,77.92,19.48,1.3,1.3,0
"CHANDLER POLICE DEPARTMENT, Arizona",412000,412000,86.96,1.55,1.55,9.94,0
"FLAGSTAFF POLICE DEPARTMENT, Arizona",423620,423620,86.11,0.93,0,12.04,0.93
"GILBERT POLICE DEPARTMENT, Arizona",427400,427400,85,0.45,0,12.27,2.27
"GLENDALE POLICE DEPARTMENT, Arizona",427820,427820,74.22,4.34,3.13,14.22,4.1
"MESA POLICE DEPARTMENT, Arizona",446000,446000,79.23,3.86,2.4,13.72,0.8
"PEORIA POLICE DEPARTMENT, Arizona",454050,454050,79.78,2.81,1.69,11.8,3.93
"PHOENIX POLICE DEPARTMENT, Arizona",455000,455000,,,,,
"SCOTTSDALE POLICE DEPARTMENT, Arizona",465000,465000,88.56,2.92,2.19,5.11,1.22
"SURPRISE POLICE DEPARTMENT, Arizona",471510,471510,85.82,3.73,0,9.7,0.75
"TUCSON POLICE DEPARTMENT, Arizona",477000,477000,65.41,2.05,2.51,28.42,1.6
"YUMA POLICE DEPARTMENT, Arizona",485540,485540,60.23,2.27,0,37.5,0
"CONWAY POLICE DEPARTMENT, Arkansas",515190,515190,89.52,7.26,0,2.42,0.81
"FAYETTEVILLE POLICE DEPARTMENT, Arkansas",523290,523290,91.06,1.63,0,5.69,1.63
"FORT SMITH POLICE DEPARTMENT, Arkansas",524550,524550,80.95,1.36,1.36,4.08,12.24
"JONESBORO POLICE DEPARTMENT, Arkansas",535710,535710,90.26,7.14,0.65,1.95,0
"LITTLE ROCK POLICE DEPARTMENT, Arkansas",541000,541000,64.2,31.06,0.57,3.41,0.76
"N. LITTLE ROCK POLICE DEPARTMENT, Arkansas",550450,550450,89.62,8.74,0,1.64,0
"PINE BLUFF POLICE DEPARTMENT, Arkansas",555310,555310,37.4,59.54,0.76,0,2.29
"ANAHEIM POLICE DEPARTMENT, California",602000,602000,64.74,3.42,7.37,24.47,0
